ConditionEvents,en,uk
Evt5171_Select0,[Schlep them to your truck],[Віднесіть їх до вантажівки]
Evt5171_Select0_Hint0,You quickly load the shipment onto your truck.,Ви швидко завантажуєте вантаж на свою вантажівку.
Evt5171_Select1,[Peek inside the crates],[Зазирнути всередину ящиків]
Evt5171_Select1_Hint0,Water. Every single crate is filled with nothing but small vials of water.,"Вода. У кожному ящику немає нічого, окрім маленьких флаконів з водою."
Evt5171_Select2,[Peek inside the crates without leaving a trace],"[Зазирнути всередину ящиків, не залишаючи слідів]"
Evt5171_Select2_Hint0,You devise a brilliant method to look inside the crates without leaving any trace that they've been opened. You find... water. Every single crate is filled with nothing but small vials of water.,"Ви вигадуєте геніальний спосіб зазирнути всередину ящиків, не залишаючи жодних слідів того, що їх відкривали. Ви знаходите... воду. Кожен ящик наповнений лише маленькими флаконами з водою."
Evt5171_Select3,[Seal the crates back up],[Закрити ящики назад]
Evt5171_Select3_Hint0,"You do your best to hide any evidence of your tampering. Should fool them, provided they don$STR_2t look too closely.","Ви робите все можливе, щоб приховати будь-які докази вашого втручання. Це повинно їх обдурити, якщо вони не$STR_2 не придивлятимуться надто уважно."
EventTitle5172,(Side Quest) Suspicious Cargo Delivery,(Побічний квест) Доставка підозрілого вантажу
EventText5172,Bring the mysterious shipment back to Mr. Nessman.,Поверніть таємничий вантаж містеру Нессману.
EventTitle5173,Water You Up To - Exposed,Поливаємо вас водою - викриваємо
EventText5173,"Just like last time, you$STR_2re greeted by Mr. Nessman, his security, and people in medical scrubs. Nessman$STR_2s guys inspect all the shipments.\n$STR_1Uh, boss? I think these crates have been opened.$STR_1","Як$STR_2 і минулого разу, вас$STR_2 зустрічає пан Нессман, його охорона та люди в медичних халатах. Хлопці Нессмана перевіряють усі вантажі. Так, босе? Здається, ці ящики були відкриті.$STR_1$STR_1"
Evt5173_Select0,"The crates are sealed, aren$STR_2t they? Check the contents and see if anything$STR_2s missing.","Ящики запечатані, чи не так? Перевірте вміст і подивіться, чи не бракує чогось$STR_2."
Evt5173_Select0_Hint0,"$STR_1Check the contents. Did we take anything? Your people are just being paranoid,$STR_1 you tell Mr. Nessman.\nThe employee in question starts to protest, but Mr. Nessman holds up a hand to silence him. $STR_1Enough. I$STR_2ll take these people at their word. What matters is we received the shipment.$STR_1","$STR_1Перевірити вміст. Ми щось взяли? У ваших людей просто параноя,$STR_1 - кажете ви$STR_1 пану Нессману.\nСпівробітник, про якого йде мова, починає протестувати, але пан Нессман піднімає руку, щоб змусити його замовкнути. Досить. Я$STR_2 повірю цим людям на слово. Важливо те, що ми отримали вантаж.$STR_1"
Evt5173_Select1,[Feign ignorance],[вдає незнання]
Evt5173_Select1_Hint0,"$STR_1We don$STR_2t know anything about these crates being opened, but if you look inside you$STR_2ll surely find everything accounted for.$STR_1\nMr. Nessman$STR_2s guys open the crates and do a count. One of them nods to Nessman. $STR_1Very well. I$STR_2ll take you at your word.$STR_1","Ми$STR_2$STR_1 нічого не знаємо про те, що$STR_1 ці ящики були відкриті, але якщо ви$STR_2 зазирнете всередину, то напевно знайдете все на місці. Люди пана Нессмана відкривають ящики і перераховують. Один з них киває Нессману. Дуже добре. Я$STR_2 повірю вам на слово.$STR_1$STR_1$STR_2"
