Localization,en,uk
RoadBuildUI_RoadToCloseOtherCity,Road is too close to another city. Consider creating two roads.,Дорога надто близько до іншого міста. Розгляньте можливість створення двох доріг.
RoadBuildUI_RoadToCloseOtherCityRed,<color=red>Road is too close to another city</color>,<color=red>Дорога надто близько до іншого міста</color>
RoadBuildUI_RoadToShort,Road too short.,Дорога занадто коротка.
RoadBuildUI_SamePlaceRoad,Another road has the same start and end point as this road. Select different start and/or end points.,"Інша дорога має ту саму початкову та кінцеву точки, що й ця дорога. Виберіть різні початкові та/або кінцеві точки."
RoadBuildUI_ShowOnLeftHand,< Show on Left,< Показати ліворуч
RoadBuildUI_ShowOnRightHand,Show on Right >,Показати праворуч >
RoadBuildUI_Start,Start:,Початок:
RoadBuildUI_Start1,Start,старт
RoadBuildUI_StartCity,Starting City: ,Місто старту:
RoadBuildUI_TooCloseToOtherPoint,<color=red>Too close to another point</color>,<color=red>Занадто близько до іншої точки</color>
RoadBuildUI_TurnTooSteep,<color=red>Turn is too sharp</color>,<color=red>Поворот надто різкий</color>
TCity_RoadBuilder,Road Construction Bureau,Шляхово-будівельне бюро
TCity_RoadBuildPointLeftMat,Removing the road recovered supplies:,Видалення дороги відновлених запасів:
TCity_RoadBuildPointLeftTime,Time Left:,"Час, що залишився:"
TCity_RoadBuildPointNeed,Construction site requires:,Будмайданчик вимагає:
TCity_RoadBuildPointStop,Not enough materials. Construction paused.,Недостатньо матеріалів. Будівництво призупинено.
PeopleRealName_Map0Chara,Dustland Rookie,Пилоземний Новачок
MainUI_AutoSetPanel,Automation,Автоматизація
Common_Mod,Mods,Моди
HeroWindow_Couple,Companion,Супутник
HeroWindow_CoupleDes,Truckers with high enough opinions of each other have a chance to become companions (depending on their orientation).,Далекобійники з досить високою оцінкою один про одного мають шанс стати компаньйонами (в залежності від орієнтації).
ComingSoon,Coming Soon,Незабаром
ScreenUI_OverseasStartHint,The Dustlands are a weird and wild place. Safe travels on the long road ahead.,Пилові землі — це дивне й дике місце. Безпечних подорожей на довгій дорозі.
SavedataPanelUI_TimeTitleDH,Time: {0}D {1}h,Час: {0} Д {1} год
ChoosePeopleWindow_CheckArchive,"Unlock the ""On the Road"" achievement to select your starting truck.","Розблокуйте досягнення «В дорозі», щоб вибрати стартову вантажівку."
TradePanel_CheckTraderDetail,Expand,Розгорнути
Key_Level,Lvl {0},Рів {0}
Key_Dropped,Dropped {0},Випало {0}
Topic_Shoot,Shooting,Стрільба
MakeChara_OriginCodeName,Runner,Бігун
EventFunc_Or,or,або
EventFunc_Not,Not,ні
PurchasePanelScript_ProfitHint,Profit (vs. base price): {0},Прибуток (від базової ціни): {0}
HeroWindow_Opinions,Opinions,Думки
HeroWindow_OpinionAboutOther,{0}'s opinion of {1}: {2}\n{3},Думка {0} про {1}: {2}\n{3}
HeroWindow_OpinionLike,{0} likes {1} a little.,{0} трохи подобається {1}.
HeroWindow_OpinionNormal,{0} has no strong feelings about {1}.,{0} не має сильних почуттів щодо {1}.
HeroWindow_OpinionDislike,{0} dislikes {1} a little.,{0} трохи не подобається {1}.
HeroWindow_OpinionCouple,{0} and {1} are companions.,{0} і {1} є супутниками.
HeroWindow_SexualOrientation,Orientation,Орієнтація
BarWindow_QuestionMark,? ? ?,? ? ?
Synthesis_ExtraCost,"You are missing some items required to craft this Blueprint, but you can craft them from the materials you currently have.\nCrafting time: {0}\nTotal materials required: {1}","Вам не вистачає деяких предметів, необхідних для створення цього плану, але ви можете створити їх із наявних у вас матеріалів.\nЧас виготовлення: {0}\nЗагальна кількість необхідних матеріалів: {1}"
Synthesis_CantBulk,You do not have all the materials required for bulk crafting.,У вас немає всіх необхідних матеріалів для масового виготовлення.
ToturialManager_Hint,Tips,Поради
ToturialManager_ShowAllHint,Tips enabled,Підказки ввімкнено
ToturialManager_DisableHint,Tips disabled,Підказки вимкнено
ToturialManager_TipOn,Tip enabled,Підказка включена
ToturialManager_TipOff,Tip disabled,Підказку вимкнено
ToturialManager_EnableTip,Enable,Увімкнути
ToturialManager_DisableTip,Disable,Вимкнути
StoreExchangeWindow_SelectAll,Select All,Виберіть усі
EatFoodUIScript_ThirstRelief,(Relieves Thirst),(Знімає спрагу)
EatFoodUIScript_Hunger,Hunger: {0},Голод: {0}
EatFoodUIScript_Stress,Stress: {0},Стрес: {0}
EatFoodUI_HungerEfficiency,Eating\nEfficiency,Харчування\nЕфективність
PurchasePanelScript_TruckLoadChange,Truck Storage:,Місце у вантажівки:
PurchasePanelScript_DepotLoadChange,City Storage:,Міське сховище:
PurchasePanelScript_Overweight,[Note] This transaction will exceed your truck's storage limit.,[Примітка] Ця трансакція перевищить ліміт зберігання вашої вантажівки.
Travel_NoGasWaring,Your truck can't move without Fuel!,Ваша вантажівка не може рухатися без палива!
Travel_GasRunOutHint,Your truck has run out of Fuel. Now you're stranded out in the Dustlands. Maybe you could try asking for help from the nearest city.,"У вашій вантажівці закінчилося Паливо. Тепер ви застрягли в Запилених землях. Можливо, ви можете спробувати звернутися за допомогою до найближчого міста."
